Date,Ticker,Open,High,Low,Close,Volume
2020-01-02,AAPL,71.34406195339083,72.39409318664748,71.09119131937346,72.3338851928711,135480400
2020-01-03,AAPL,71.56321309934685,72.38926493117573,71.40667380039741,71.63064575195312,146322800
2020-01-06,AAPL,70.75402846338375,72.23995764322866,70.5035611498287,72.20142364501953,118387200
2020-01-07,AAPL,72.21105649751387,72.46633779595872,71.6426965801033,71.86185455322266,108872000
2020-01-08,AAPL,71.5656511099871,73.31890809713097,71.5656511099871,73.01786804199219,132079200
2020-01-09,AAPL,73.99319481949146,74.76144921222713,73.7427349209394,74.56878662109375,170108400
2020-01-10,AAPL,74.80241031619431,75.3009342510977,74.23645372460896,74.73738098144531,140644800
2020-01-13,AAPL,75.05285582286368,76.36057125816924,74.9348431957367,76.33407592773438,121532000
2020-01-14,AAPL,76.2714631183451,76.48098568839895,75.18049494182533,75.30331420898438,161954400
2020-01-15,AAPL,75.10344798902688,75.98248317068368,74.54953007278792,74.98062133789062,121923600
2020-01-16,AAPL,75.52248200660513,76.03064118697364,75.16123412136378,75.91985321044922,108829200
2020-01-17,AAPL,76.16791647174253,76.76277166888072,75.86206254796348,76.76036834716797,137816400
2020-01-21,AAPL,76.38947268651397,76.83019183971173,76.1028821310267,76.24015808105469,110843200
2020-01-22,AAPL,76.72425508723063,77.06382908812623,76.41840109404252,76.5123291015625,101832400
2020-01-23,AAPL,76.56529382668359,76.96025438766408,76.01860061750638,76.88078308105469,104472000
2020-01-24,AAPL,77.1264324079885,77.86819158420508,76.46895853504518,76.65921783447266,146537600
2020-01-27,AAPL,74.67235687385795,75.08417746726008,73.42484908589569,74.40503692626953,161940000
2020-01-28,AAPL,75.28404668634916,76.68086864175731,75.18530473421498,76.50988006591797,162234000
2020-01-29,AAPL,78.13792264122904,78.95674973344263,77.39856685210137,78.1114273071289,216229200
2020-01-30,AAPL,77.19626294921763,78.05121329496869,76.76517176985938,77.99822998046875,126743200
2020-01-31,AAPL,77.29019858022654,77.71165450707113,74.24608645041388,74.53990173339844,199588400
2020-02-03,AAPL,73.2851511845041,75.49839714349714,72.78422401879573,74.3351821899414,173788400
2020-02-04,AAPL,75.93672133535755,76.97952779146334,75.53212542449515,76.78926849365234,136616400
2020-02-05,AAPL,77.91393700101683,78.21257356762338,76.81334075627086,77.41542053222656,118826800
2020-02-06,AAPL,77.68515330009288,78.32335641079244,77.12883215929374,78.3209457397461,105425600
2020-02-07,AAPL,77.82125391424971,78.06989925267796,76.76632167871378,77.2563705444336,117684000
2020-02-10,AAPL,75.84414097834794,77.62328338623047,75.76448107418051,77.62328338623047,109348800
2020-02-11,AAPL,78.11818867514276,78.19060679185898,76.93772180330761,77.15498352050781,94323200
2020-02-12,AAPL,77.60399117788235,78.99206144129231,77.60399117788235,78.98723602294922,113730400
2020-02-13,AAPL,78.26059867524006,78.75064746940821,78.05782062596876,78.42475128173828,94747600
2020-02-14,AAPL,78.3933688702963,78.69271421468866,77.93712009409066,78.4440689086914,80113600
2020-02-18,AAPL,76.12900107799734,77.1887659353896,75.94794846047884,77.0077133178711,152531200
2020-02-19,AAPL,77.24910650127589,78.35232207158896,77.24910650127589,78.12298583984375,93984000
2020-02-20,AAPL,77.88400744802773,78.3716398349872,76.81700080414447,77.321533203125,100566000
2020-02-21,AAPL,76.91598466630131,77.35775721221363,74.95578935685651,75.57136535644531,129554000
